Name,Exit Velocity,Ball Velocity,Launch Angle,Exit Direction,Spin,Distance,S Zone X,S Zone Y,,,,,,
Taylor,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Taylor,NA,82.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Taylor,92.0 ,83.3 ,29.2 ,6.7,3262 ,348 ,-4.3 ,31.2 ,,,,,,
Taylor,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Taylor,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Taylor,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Alonso,75.5 ,84.3 ,38.8 ,25.1,500 ,265 ,4.8 ,18.4 ,,,,,,
Alonso,84.2 ,85.7 ,-8.2 ,-1.2,1694 ,11 ,3.7 ,27.0 ,,,,,,
Alonso,81.7 ,83.3 ,-17.9 ,-23.9,500 ,6 ,3.0 ,29.1 ,,,,,,
Alonso,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Alonso,84.7 ,86.1 ,7.3 ,11.7,1593 ,131 ,0.7 ,24.4 ,,,,,,
Alonso,99.4 ,88.0 ,-1.1 ,-20.7,500 ,40 ,14.1 ,27.3 ,,,,,,
Alonso,95.0 ,85.7 ,10.4 ,2,1846 ,218 ,0.4 ,33.8 ,,,,,,
Alonso,78.1 ,85.4 ,20.9 ,10,2989 ,226 ,6.7 ,24.0 ,,,,,,
Alonso,89.1 ,83.6 ,15.0 ,-1.6,852 ,250 ,1.3 ,26.4 ,,,,,,
Alonso,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Alonso,101.5 ,83.3 ,6.1 ,-25.3,2179 ,166 ,-13.7 ,21.7 ,,,,,,
Alonso,88.2 ,84.0 ,8.1 ,2.5,912 ,148 ,-1.5 ,32.0 ,,,,,,
Alonso,80.0 ,85.7 ,25.0 ,16.7,3537 ,261 ,1.5 ,28.8 ,,,,,,
Alonso,90.6 ,84.3 ,9.3 ,9.7,2169 ,190 ,-1.0 ,31.5 ,,,,,,
Alonso,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Alonso,58.5 ,84.7 ,34.0 ,25.3,4248 ,172 ,2.3 ,24.1 ,,,,,,
Alonso,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Alonso,NA,87.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,88.1 ,83.3 ,-11.6 ,-12.9,1577 ,10 ,3.9 ,29.9 ,,,,,,
Steigerwald,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,80.5 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,95.3 ,83.3 ,2.1 ,-1,1681 ,87 ,6.0 ,29.1 ,,,,,,
Steigerwald,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,109.7 ,83.6 ,-18.0 ,-14.4,3199 ,6 ,23.8 ,2.1 ,,,,,,
Steigerwald,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,85.1 ,81.9 ,34.6 ,22.8,4893 ,295 ,-4.5 ,37.8 ,,,,,,
Steigerwald,NA,79.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Steigerwald,71.4 ,79.1 ,8.6 ,-14.5,795 ,117 ,1.1 ,24.3 ,,,,,,
Kaplan,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,83.6 ,83.3 ,-2.2 ,-25.5,2301 ,28 ,1.7 ,24.7 ,,,,,,
Kaplan,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,NA,82.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,82.3 ,84.7 ,21.8 ,28.1,5000 ,264 ,1.6 ,22.9 ,,,,,,
Kaplan,95.6 ,84.0 ,8.8 ,6.7,1259 ,208 ,-4.3 ,31.6 ,,,,,,
Kaplan,NA,86.1 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,98.8 ,78.1 ,22.4 ,8.3,3420 ,349 ,2.7 ,30.2 ,,,,,,
Kaplan,NA,83.6 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,98.6 ,87.1 ,9.3 ,7.5,2288 ,219 ,-1.3 ,32.2 ,,,,,,
Kaplan,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,103.6 ,84.7 ,-12.1 ,-14.1,3982 ,7 ,5.6 ,19.9 ,,,,,,
Kaplan,NA,85.4 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,87.8 ,86.1 ,0.2 ,16.8,1835 ,52 ,-11.0 ,24.7 ,,,,,,
Kaplan,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Kaplan,91.2 ,86.1 ,16.3 ,33.1,4270 ,270 ,-6.2 ,36.8 ,,,,,,
Kaplan,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,104.8 ,82.6 ,16.4 ,-28.7,1723 ,304 ,5.3 ,29.8 ,,,,,,
A. Charles,86.3 ,82.6 ,7.0 ,-25.9,1597 ,112 ,-8.1 ,29.6 ,,,,,,
A. Charles,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,105.5 ,83.3 ,-5.5 ,-24.6,500 ,18 ,8.4 ,23.9 ,,,,,,
A. Charles,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,94.0 ,81.5 ,22.9 ,-19.2,1409 ,355 ,2.8 ,33.4 ,,,,,,
A. Charles,NA,84.0 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,NA,82.9 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,94.1 ,83.3 ,29.0 ,3.3,1946 ,347 ,3.3 ,23.2 ,,,,,,
A. Charles,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,NA,85.7 ,NA,NA,NA,NA,NA,NA,,,,,,
A. Charles,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,57.2 ,86.1 ,11.3 ,-23.1,5000 ,99 ,8.9 ,36.1 ,,,,,,
Flematti,86.7 ,83.6 ,14.5 ,20.3,3463 ,214 ,5.0 ,28.4 ,,,,,,
Flematti,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,85.0 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,68.5 ,83.3 ,1.0 ,-2.9,1025 ,39 ,-0.9 ,32.2 ,,,,,,
Flematti,76.8 ,83.3 ,17.1 ,13.8,2561 ,196 ,2.6 ,23.4 ,,,,,,
Flematti,NA,87.8 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,79.8 ,83.3 ,12.2 ,11.8,2067 ,183 ,4.5 ,28.4 ,,,,,,
Flematti,89.5 ,83.6 ,11.0 ,24.5,3408 ,201 ,0.5 ,28.3 ,,,,,,
Flematti,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,83.3 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,NA,84.7 ,NA,NA,NA,NA,NA,NA,,,,,,
Flematti,74.2 ,83.3 ,43.2 ,57.4,4568 ,241 ,-21.3 ,55.9 ,,,,,,
Flematti,NA,84.3 ,NA,NA,NA,NA,NA,NA,,,,,,
