"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","GS","BA","OBPct","SlgPct","R","AB","H","2B","3B","TB","HR","RBI","BB","HBP","SF","SH","K","DP","CS","Picked","SB","RBI2out","teamid","conference_id","player_id","player_url"
"1","2016","Cornell","Ivy League",1,"19","Wickham, Dale","So","OF",38,38,0.29,0.351,0.507,24,138,40,9,3,NA,5,21,10,3,NA,2,20,4,2,NA,5,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652396"
"2","2016","Cornell","Ivy League",1,"30","Price, C.J.","Jr","C",37,37,0.233,0.371,0.328,17,116,27,NA,1,NA,3,9,17,9,1,2,20,3,2,NA,1,NA,167,865,"1779087","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779087"
"3","2016","Cornell","Ivy League",1,"36","Rutherford, Cole","Jr","1B",37,37,0.276,0.359,0.512,15,127,35,8,2,NA,6,26,14,3,1,1,24,2,NA,NA,1,NA,167,865,"1779086","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779086"
"4","2016","Cornell","Ivy League",1,"2","Bitar, Ellis","So","C",36,36,0.288,0.352,0.386,15,132,38,5,1,NA,2,12,4,9,NA,1,29,2,2,NA,9,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652397"
"5","2016","Cornell","Ivy League",1,"8","Padulo, Frankie","Jr","INF",36,34,0.192,0.292,0.267,19,120,23,6,NA,NA,1,11,14,3,NA,1,20,5,1,NA,1,NA,167,865,"1546995","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546995"
"6","2016","Cornell","Ivy League",1,"27","Winawer, Jordan","Sr","OF",33,31,0.2,0.282,0.274,12,95,19,2,1,NA,1,6,10,2,3,4,19,3,1,NA,4,NA,167,865,"1439151","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439151"
"7","2016","Cornell","Ivy League",1,"5","Lowell, Eliot","Sr","INF",30,25,0.176,0.325,0.191,10,68,12,1,NA,NA,NA,4,15,NA,NA,1,16,NA,2,NA,1,NA,167,865,"1439148","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439148"
"8","2016","Cornell","Ivy League",1,"6","Arndt, Josh","Fr","INF",28,24,0.229,0.289,0.277,7,83,19,4,NA,NA,NA,10,6,1,NA,1,10,1,2,NA,2,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779078"
"9","2016","Cornell","Ivy League",1,"32","Fraser, Mark","Fr","1B",26,22,0.259,0.315,0.395,8,81,21,8,NA,NA,1,18,7,NA,1,NA,22,3,NA,NA,NA,NA,167,865,"1779084","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779084"
"10","2016","Cornell","Ivy League",1,"15","Wagner, Tommy","Jr","INF",23,23,0.341,0.429,0.471,12,85,29,5,NA,NA,2,11,10,3,NA,2,7,3,NA,NA,3,NA,167,865,"1547005","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547005"
"11","2016","Cornell","Ivy League",1,"34","Morris, Parker","Fr","OF",20,7,0.143,0.167,0.179,4,28,4,1,NA,NA,NA,1,1,NA,1,1,7,1,NA,NA,1,NA,167,865,"1779081","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779081"
"12","2016","Cornell","Ivy League",1,"25","Weston, Jacob","Jr","OF",18,13,0.149,0.212,0.234,3,47,7,1,NA,NA,1,5,4,NA,1,1,16,NA,NA,NA,NA,NA,167,865,"1546999","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1546999"
"13","2016","Cornell","Ivy League",1,"23","Flynn, Jamie","Jr","P",15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779083","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779083"
"14","2016","Cornell","Ivy League",1,"26","Lewis, Justin","So","P",14,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652395","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1652395"
"15","2016","Cornell","Ivy League",1,"29","Willittes, Tim","Jr","P",13,9,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1547000","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1547000"
