"","year","school","conference","division","Jersey","Player","Yr","Pos","GP","App","GS","ERA","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","Bk","HR-A","WP","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","KL","teamid","conference_id","player_id","player_url"
"1","2018","Cornell","Ivy League",1,"27","Gallagher, Kyle","Sr","OF",37,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884386","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884386"
"2","2018","Cornell","Ivy League",1,"12","Krainz, Ryan","Sr","INF",37,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884383","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884383"
"3","2018","Cornell","Ivy League",1,"33","Simoneit, Will","Jr","C",37,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779085","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779085"
"4","2018","Cornell","Ivy League",1,"2","Bitar, Ellis","Sr","C",36,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652397","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652397"
"5","2018","Cornell","Ivy League",1,"5","Wickham, Dale","Sr","OF",36,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652396","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652396"
"6","2018","Cornell","Ivy League",1,"6","Arndt, Josh","Jr","INF",32,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1779078","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779078"
"7","2018","Cornell","Ivy League",1,"19","Lepper, Kaleb","So","OF",27,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884384","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884384"
"8","2018","Cornell","Ivy League",1,"21","Garza, Ramon","Fr","INF",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997328","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997328"
"9","2018","Cornell","Ivy League",1,"35","Baur, Trey","Sr","INF",26,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652419","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652419"
"10","2018","Cornell","Ivy League",1,"25","Apostle, Jason","Fr","OF",24,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1997329","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997329"
"11","2018","Cornell","Ivy League",1,"31","Wyatt, Colby","So","P",19,19,NA,3.65,24.2,24,12,10,14,28,NA,112,93,5,NA,NA,NA,8,1,NA,19,8,2,2,159,20,23,NA,1,2,11,167,865,"1884389","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884389"
"12","2018","Cornell","Ivy League",1,"1","Le Dorze, Pierre","Sr","OF",19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1652421","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652421"
"13","2018","Cornell","Ivy League",1,"15","Collins, Matt","So","INF",19,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,865,"1884388","http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884388"
