player_id,year,school,conference,division,Jersey,Player,Yr,Pos,GP,App,GS,ERA,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,KL,teamid,conference_id,player_url
2111707.0,2020,Cornell,Ivy League,1,1,"Lillios, Nikolas",So,P,5.0,5.0,,1.69,5.1,7.0,1.0,1.0,1.0,3.0,,23.0,21.0,,1.0,,,,,,1.0,1.0,1.0,,76.0,6.0,6.0,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2111707
2111755.0,2020,Cornell,Ivy League,1,32,"Zacharias, Jon",So,P,3.0,3.0,,6.75,6.2,8.0,9.0,5.0,5.0,4.0,,36.0,29.0,2.0,,,1.0,1.0,1.0,,4.0,2.0,,1.0,66.0,5.0,11.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2111755
1997345.0,2020,Cornell,Ivy League,1,26,"Davis, Trevor Daniel",Jr,P,3.0,3.0,,1.93,4.2,2.0,2.0,1.0,4.0,8.0,,24.0,17.0,,,,,4.0,3.0,,5.0,2.0,,,48.0,3.0,3.0,,,,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=1997345
1997324.0,2020,Cornell,Ivy League,1,20,"Urbon, Seth",Sr,P,3.0,3.0,,6.43,7.0,9.0,6.0,5.0,5.0,7.0,,35.0,29.0,2.0,,,2.0,,,,2.0,2.0,,1.0,119.0,6.0,8.0,,2.0,1.0,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=1997324
1884389.0,2020,Cornell,Ivy League,1,31,"Wyatt, Colby",Sr,P,3.0,3.0,3.0,5.65,14.1,18.0,17.0,9.0,6.0,14.0,,70.0,61.0,3.0,1.0,,3.0,,2.0,,,,,1.0,172.0,11.0,16.0,,3.0,,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=1884389
2347211.0,2020,Cornell,Ivy League,1,28,"Edwards, Spencer",Fr,P,3.0,3.0,3.0,9.0,10.0,9.0,13.0,10.0,11.0,13.0,,52.0,35.0,2.0,1.0,,1.0,3.0,3.0,,,,1.0,2.0,153.0,4.0,11.0,,3.0,,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2347211
1884378.0,2020,Cornell,Ivy League,1,34,"Natoli, John",Sr,P,3.0,3.0,3.0,0.82,11.0,10.0,1.0,1.0,3.0,13.0,,44.0,40.0,1.0,,,,2.0,1.0,,,,,,79.0,7.0,10.0,1.0,,,4.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=1884378
2111724.0,2020,Cornell,Ivy League,1,12,"Yacinich, Luke",So,P,3.0,3.0,,4.7,7.2,7.0,5.0,4.0,11.0,7.0,,41.0,29.0,1.0,,,1.0,2.0,,,4.0,3.0,1.0,,104.0,6.0,9.0,,,,5.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2111724
2111716.0,2020,Cornell,Ivy League,1,33,"Cushing, Kevin",So,P,3.0,3.0,,7.94,5.2,7.0,6.0,5.0,3.0,8.0,,26.0,23.0,2.0,,,1.0,1.0,,,2.0,,,,69.0,3.0,5.0,,,,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=2111716
1997332.0,2020,Cornell,Ivy League,1,40,"Ellison, Andrew",Sr,P,3.0,3.0,,0.0,2.2,2.0,,,1.0,2.0,,11.0,9.0,1.0,,,,,1.0,,2.0,1.0,,,33.0,2.0,3.0,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=15204&org_id=167&stats_player_seq=1997332
1884378.0,2019,Cornell,Ivy League,1,34,"Natoli, John",Jr,P,19.0,19.0,1.0,1.73,36.1,24.0,12.0,7.0,9.0,46.0,,149.0,135.0,3.0,,,,1.0,3.0,1.0,14.0,2.0,1.0,1.0,389.0,32.0,29.0,5.0,2.0,7.0,12.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884378
2111707.0,2019,Cornell,Ivy League,1,1,"Lillios, Nikolas",Fr,P,15.0,9.0,,3.27,11.0,12.0,5.0,4.0,3.0,4.0,,45.0,40.0,3.0,,1.0,,,,,8.0,3.0,,2.0,57.0,13.0,13.0,,,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111707
1997345.0,2019,Cornell,Ivy League,1,26,"Davis, Trevor Daniel",So,P,14.0,14.0,,4.96,16.1,20.0,19.0,9.0,10.0,18.0,,85.0,68.0,3.0,1.0,,2.0,5.0,3.0,1.0,10.0,5.0,2.0,2.0,161.0,14.0,15.0,1.0,,,6.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997345
2111755.0,2019,Cornell,Ivy League,1,32,"Zacharias, Jon",Fr,P,13.0,13.0,8.0,2.83,41.1,37.0,15.0,13.0,14.0,30.0,,174.0,150.0,7.0,,1.0,1.0,3.0,4.0,,1.0,,3.0,3.0,407.0,45.0,42.0,1.0,3.0,,10.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111755
2111724.0,2019,Cornell,Ivy League,1,12,"Yacinich, Luke",Fr,P,13.0,13.0,4.0,8.07,32.1,46.0,33.0,29.0,20.0,18.0,,161.0,136.0,6.0,2.0,1.0,3.0,,3.0,1.0,3.0,,2.0,,268.0,33.0,39.0,2.0,4.0,,5.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111724
1884389.0,2019,Cornell,Ivy League,1,31,"Wyatt, Colby",Jr,P,13.0,13.0,10.0,3.68,63.2,73.0,36.0,26.0,18.0,35.0,,282.0,252.0,18.0,1.0,1.0,3.0,4.0,5.0,,1.0,,5.0,2.0,586.0,67.0,75.0,3.0,6.0,,9.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884389
1884390.0,2019,Cornell,Ivy League,1,22,"Bemiss, Jeb",Jr,P,12.0,12.0,6.0,5.83,46.1,55.0,32.0,30.0,7.0,39.0,,201.0,189.0,12.0,1.0,,6.0,2.0,3.0,,5.0,4.0,2.0,,376.0,50.0,46.0,2.0,3.0,,9.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1884390
2111716.0,2019,Cornell,Ivy League,1,8,"Cushing, Kevin",Fr,P,11.0,11.0,,4.5,12.0,15.0,6.0,6.0,6.0,7.0,,52.0,45.0,1.0,1.0,,,2.0,,,6.0,2.0,,1.0,171.0,11.0,13.0,,,,4.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111716
1997332.0,2019,Cornell,Ivy League,1,40,"Ellison, Andrew",Jr,P,11.0,11.0,2.0,2.39,26.1,18.0,7.0,7.0,17.0,17.0,,117.0,94.0,4.0,,2.0,1.0,4.0,5.0,,6.0,1.0,1.0,,205.0,19.0,41.0,,,1.0,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997332
1779080.0,2019,Cornell,Ivy League,1,16,"Arnold, Austin",Sr,P,8.0,8.0,,3.18,5.2,5.0,2.0,2.0,3.0,3.0,,27.0,20.0,1.0,,,1.0,1.0,3.0,,3.0,1.0,,1.0,66.0,5.0,8.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1779080
1997324.0,2019,Cornell,Ivy League,1,20,"Urbon, Seth",Jr,P,7.0,7.0,7.0,8.1,33.1,48.0,35.0,30.0,6.0,29.0,,157.0,146.0,11.0,2.0,,4.0,1.0,3.0,,,,1.0,1.0,412.0,23.0,46.0,,6.0,,11.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=1997324
2111734.0,2019,Cornell,Ivy League,1,27,"Gilbert, William",Fr,P,2.0,2.0,,5.4,1.2,1.0,1.0,1.0,4.0,3.0,,9.0,5.0,,,,,,,,1.0,,,,25.0,1.0,,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14781&stats_player_seq=2111734
1884389.0,2018,Cornell,Ivy League,1,31,"Wyatt, Colby",So,P,19.0,19.0,,3.65,24.2,24.0,12.0,10.0,14.0,28.0,,112.0,93.0,5.0,,,,8.0,1.0,,19.0,8.0,2.0,2.0,159.0,20.0,23.0,,1.0,2.0,11.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884389
1997332.0,2018,Cornell,Ivy League,1,40,"Ellison, Andrew",So,P,16.0,16.0,,2.02,26.2,19.0,9.0,6.0,14.0,26.0,,115.0,94.0,3.0,,,1.0,2.0,4.0,,11.0,1.0,3.0,,102.0,22.0,28.0,2.0,5.0,3.0,10.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997332
1783016.0,2018,Cornell,Ivy League,1,11,"Wahl, Austin",Sr,P,16.0,16.0,1.0,2.61,20.2,15.0,8.0,6.0,16.0,18.0,,97.0,76.0,3.0,1.0,2.0,,7.0,3.0,,12.0,2.0,1.0,1.0,142.0,21.0,20.0,2.0,,,10.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1783016
1884390.0,2018,Cornell,Ivy League,1,22,"Bemiss, Jeb",So,P,15.0,15.0,2.0,6.16,30.2,39.0,26.0,21.0,12.0,26.0,,144.0,131.0,9.0,2.0,,3.0,4.0,1.0,,16.0,7.0,,,253.0,33.0,29.0,2.0,2.0,1.0,10.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884390
1779079.0,2018,Cornell,Ivy League,1,13,"Saks, Adam",Jr,P,13.0,13.0,3.0,4.8,15.0,17.0,12.0,8.0,11.0,12.0,,74.0,58.0,2.0,,,1.0,1.0,3.0,,11.0,8.0,1.0,1.0,178.0,24.0,7.0,1.0,,,4.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779079
1997324.0,2018,Cornell,Ivy League,1,20,"Urbon, Seth",So,P,12.0,12.0,10.0,5.37,65.1,78.0,44.0,39.0,15.0,39.0,,292.0,264.0,19.0,3.0,,7.0,3.0,6.0,,1.0,1.0,5.0,2.0,239.0,72.0,76.0,2.0,2.0,,12.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997324
1547000.0,2018,Cornell,Ivy League,1,36,"Willittes, Tim",Sr,P,11.0,11.0,11.0,5.56,68.0,81.0,47.0,42.0,17.0,54.0,,302.0,274.0,23.0,1.0,,3.0,9.0,3.0,,,,2.0,6.0,257.0,71.0,69.0,4.0,4.0,,24.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1547000
1884404.0,2018,Cornell,Ivy League,1,9,"Morris, Tommy",Sr,P,9.0,9.0,5.0,4.46,36.1,35.0,21.0,18.0,12.0,9.0,,164.0,134.0,5.0,2.0,,5.0,3.0,14.0,,,,2.0,2.0,74.0,46.0,44.0,,3.0,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884404
1652394.0,2018,Cornell,Ivy League,1,23,"Fernandez, Tyler",Sr,P,9.0,9.0,5.0,9.93,22.2,36.0,33.0,25.0,23.0,17.0,,128.0,96.0,4.0,2.0,,1.0,9.0,2.0,,2.0,2.0,2.0,5.0,280.0,23.0,21.0,,4.0,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1652394
1778328.0,2018,Cornell,Ivy League,1,7,"McMenamy, Owen",Jr,P,5.0,5.0,,18.9,3.1,8.0,8.0,7.0,6.0,3.0,,25.0,18.0,2.0,,,,2.0,1.0,,,,,,,5.0,2.0,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1778328
1997331.0,2018,Cornell,Ivy League,1,29,"Bailey, Garrett",Fr,P,4.0,4.0,,11.57,2.1,7.0,3.0,3.0,0.0,1.0,,14.0,14.0,1.0,,,,1.0,,,4.0,1.0,,,33.0,4.0,2.0,,1.0,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997331
1997345.0,2018,Cornell,Ivy League,1,26,"Davis, Trevor Daniel",Fr,P,4.0,4.0,,3.38,2.2,4.0,1.0,1.0,2.0,3.0,,13.0,10.0,1.0,,,,1.0,,,,,,1.0,26.0,3.0,1.0,,,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997345
1779080.0,2018,Cornell,Ivy League,1,16,"Arnold, Austin",Jr,P,3.0,3.0,,0.0,3.2,3.0,1.0,,1.0,4.0,,17.0,14.0,,,,,1.0,1.0,,,,,1.0,47.0,1.0,6.0,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1779080
1997325.0,2018,Cornell,Ivy League,1,8,"Binnie, Nicholas",Fr,P,2.0,2.0,,20.25,1.1,2.0,3.0,3.0,0.0,1.0,,7.0,6.0,1.0,,,,1.0,1.0,,2.0,,,,19.0,,3.0,1.0,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1997325
1884378.0,2018,Cornell,Ivy League,1,4,"Natoli, John",So,P,1.0,1.0,,0.0,1.2,1.0,,,0.0,1.0,,6.0,6.0,,,,,,,,2.0,1.0,,,23.0,2.0,2.0,,,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12973&stats_player_seq=1884378
1652420.0,2017,Cornell,Ivy League,1,39,"Lannoo, Peter",Sr,P,17.0,17.0,,3.86,21.0,20.0,9.0,9.0,6.0,16.0,,85.0,77.0,1.0,1.0,,1.0,,1.0,,9.0,,1.0,,184.0,19.0,21.0,,,8.0,3.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652420
1779083.0,2017,Cornell,Ivy League,1,23,"Flynn, Jamie",Sr,P,13.0,13.0,,2.25,16.0,14.0,5.0,4.0,9.0,14.0,,69.0,56.0,2.0,1.0,,,2.0,2.0,,11.0,3.0,1.0,,135.0,17.0,12.0,1.0,,,6.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779083
1884390.0,2017,Cornell,Ivy League,1,32,"Bemiss, Jeb",Fr,P,13.0,13.0,,4.76,22.2,29.0,14.0,12.0,12.0,12.0,,107.0,90.0,9.0,1.0,,5.0,,1.0,1.0,5.0,2.0,2.0,2.0,291.0,19.0,33.0,1.0,2.0,1.0,6.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884390
1884391.0,2017,Cornell,Ivy League,1,37,"Horton, Matt",Sr,P,13.0,13.0,,4.85,13.0,12.0,7.0,7.0,10.0,14.0,,61.0,50.0,5.0,,,,1.0,1.0,,8.0,,,,107.0,8.0,16.0,2.0,1.0,,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884391
1884378.0,2017,Cornell,Ivy League,1,4,"Natoli, John",Fr,P,11.0,11.0,,6.0,9.0,12.0,6.0,6.0,2.0,5.0,,41.0,37.0,3.0,,,1.0,1.0,1.0,,5.0,1.0,,1.0,81.0,12.0,9.0,,,1.0,1.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884378
1546994.0,2017,Cornell,Ivy League,1,7,"Soltis, Scott",Sr,P,10.0,10.0,4.0,4.88,27.2,30.0,18.0,15.0,10.0,13.0,,124.0,110.0,5.0,1.0,,4.0,,2.0,,6.0,3.0,1.0,1.0,170.0,23.0,43.0,3.0,1.0,,6.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546994
1547000.0,2017,Cornell,Ivy League,1,29,"Willittes, Tim",Sr,P,10.0,10.0,9.0,6.12,50.0,64.0,40.0,34.0,18.0,34.0,,233.0,208.0,12.0,,2.0,7.0,3.0,2.0,,,,3.0,2.0,481.0,61.0,51.0,4.0,3.0,,15.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1547000
1546998.0,2017,Cornell,Ivy League,1,22,"Balestrieri, Paul",Sr,P,9.0,9.0,9.0,2.18,57.2,49.0,23.0,14.0,15.0,36.0,,243.0,218.0,4.0,2.0,,2.0,2.0,6.0,,,,1.0,3.0,402.0,95.0,28.0,5.0,4.0,,13.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1546998
1652395.0,2017,Cornell,Ivy League,1,26,"Lewis, Justin",Jr,P,9.0,9.0,8.0,5.32,45.2,49.0,32.0,27.0,14.0,45.0,1.0,209.0,183.0,10.0,1.0,,4.0,1.0,6.0,,,,4.0,2.0,297.0,56.0,33.0,3.0,2.0,,11.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1652395
1884389.0,2017,Cornell,Ivy League,1,31,"Wyatt, Colby",Fr,P,8.0,8.0,2.0,13.0,9.0,14.0,15.0,13.0,4.0,7.0,,48.0,40.0,4.0,,,3.0,1.0,3.0,,5.0,3.0,,,127.0,9.0,11.0,,2.0,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884389
1884404.0,2017,Cornell,Ivy League,1,34,"Morris, Tommy",Sr,P,5.0,5.0,5.0,4.28,27.1,28.0,13.0,13.0,10.0,10.0,,115.0,102.0,6.0,,,2.0,2.0,,,,,2.0,1.0,153.0,36.0,31.0,2.0,2.0,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884404
1779079.0,2017,Cornell,Ivy League,1,13,"Saks, Adam",So,P,3.0,3.0,,0.0,2.1,1.0,,,3.0,3.0,,12.0,8.0,1.0,,,,,1.0,,,,,,35.0,3.0,1.0,,,,2.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779079
1779082.0,2017,Cornell,Ivy League,1,20,"Pannullo, Rob",Sr,P,2.0,2.0,,0.0,0.2,0.0,,,2.0,1.0,,4.0,2.0,,,,,,,,3.0,2.0,,,,1.0,,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779082
1779081.0,2017,Cornell,Ivy League,1,17,"Morris, Parker",So,OF,1.0,1.0,1.0,6.75,4.0,5.0,3.0,3.0,0.0,5.0,,18.0,16.0,3.0,,,,,1.0,,,,,1.0,,2.0,4.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1779081
1884387.0,2017,Cornell,Ivy League,1,28,"Cintron, Nick",Fr,P,1.0,1.0,,0.0,1.0,0.0,,,0.0,1.0,,4.0,3.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12560&stats_player_seq=1884387
1439148.0,2016,Cornell,Ivy League,1,5,"Lowell, Eliot",Sr,INF,30.0,3.0,,16.88,2.2,4.0,5.0,5.0,2.0,2.0,,14.0,11.0,1.0,,,1.0,1.0,1.0,,3.0,,,,43.0,3.0,2.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1439148
1779081.0,2016,Cornell,Ivy League,1,34,"Morris, Parker",Fr,OF,20.0,2.0,,13.5,0.2,2.0,1.0,1.0,4.0,1.0,,8.0,4.0,,,,,3.0,,,1.0,,,,27.0,,1.0,,,,,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779081
1779083.0,2016,Cornell,Ivy League,1,23,"Flynn, Jamie",Jr,P,15.0,15.0,,6.5,18.0,20.0,15.0,13.0,8.0,23.0,,89.0,74.0,3.0,2.0,,1.0,7.0,6.0,1.0,15.0,4.0,,1.0,74.0,16.0,13.0,,,,5.0,167,865,http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12360&stats_player_seq=1779083
